step,loss
0,0.705543
100,0.0455419
200,0.0359584
300,0.0297709
400,0.0242081
500,0.0250324
600,0.0145062
700,0.0219272
800,0.0108773
900,0.0186449
1000,0.0129324
1100,0.0172398
1200,0.0152025
1300,0.0090094
1400,0.0112027
1500,0.0137392
1600,0.00955618
1700,0.00902311
1800,0.0122604
1900,0.00801663
2000,0.0096007
2100,0.00784223
2200,0.00976695
2300,0.00742854
2400,0.00807725
2500,0.00912271
2600,0.00728045
2700,0.00609764
2800,0.00678562
2900,0.00758975
3000,0.00668484
3100,0.00622151
3200,0.00628773
3300,0.00640128
3400,0.00534252
3500,0.00608863
3600,0.00559252
3700,0.00783744
3800,0.00581631
3900,0.0047756
4000,0.00644157
4100,0.00462012
4200,0.00536446
4300,0.00579729
4400,0.00493528
4500,0.00483605
4600,0.00597881
4700,0.00513668
4800,0.00440278
4900,0.00484833
5000,0.00480349
5100,0.0043171
5200,0.00461956
5300,0.00434491
5400,0.00464792
5500,0.00494082
5600,0.00442883
5700,0.00440035
5800,0.00442749
5900,0.00450791
6000,0.00403672
6100,0.00407344
6200,0.0042081
6300,0.00472166
6400,0.0039702
6500,0.00438244
6600,0.00406504
6700,0.00474944
6800,0.00414324
6900,0.00482202
7000,0.00433211
7100,0.0051586
7200,0.00378542
7300,0.00400116
7400,0.00410713
7500,0.00392964
7600,0.00382286
7700,0.00363051
7800,0.00363671
7900,0.00430523
8000,0.00375818
8100,0.00401905
8200,0.0037014
8300,0.00344957
8400,0.00346735
8500,0.00340637
8600,0.0035406
8700,0.00364628
8800,0.00384905
8900,0.00359481
9000,0.00363669
9100,0.00372802
9200,0.00381518
9300,0.00376507
9400,0.0037075
9500,0.00340614
9600,0.00327328
9700,0.00327188
9800,0.00376144
9900,0.00336426
10000,0.00345141
10100,0.00328366
10200,0.00344789
10300,0.00377526
10400,0.00313119
10500,0.00355357
10600,0.00324181
10700,0.00331191
10800,0.00305608
10900,0.00327998
11000,0.0036912
11100,0.00316831
11200,0.00303376
11300,0.00307109
11400,0.00291082
11500,0.00343083
11600,0.00286317
11700,0.00305871
11800,0.00300542
11900,0.00303962
12000,0.0028686
12100,0.00305493
12200,0.00321204
12300,0.00332557
12400,0.00304723
12500,0.0029891
12600,0.00303335
12700,0.00327312
12800,0.00320333
12900,0.00297382
13000,0.00281746
13100,0.00301717
13200,0.00314228
13300,0.00310795
13400,0.00286947
13500,0.00272642
13600,0.00289637
13700,0.00292229
13800,0.00289574
13900,0.00289441
14000,0.00286351
14100,0.00288173
14200,0.00279972
14300,0.00290043
14400,0.00251426
14500,0.00302916
14600,0.00286498
14700,0.00259067
14800,0.00296454
14900,0.00427746
15000,0.00392294
15100,0.00357859
15200,0.00328385
15300,0.0032213
15400,0.00301825
15500,0.0027097
15600,0.00270686
15700,0.00294852
15800,0.00315738
15900,0.00262399
16000,0.00263279
16100,0.00256131
16200,0.00283155
16300,0.00270749
16400,0.00265851
16500,0.00258689
16600,0.00252745
16700,0.0027338
16800,0.00268001
16900,0.0024739
17000,0.00293548
17100,0.00254619
17200,0.00247253
17300,0.002665
17400,0.00272457
17500,0.00254733
17600,0.00258422
17700,0.00272877
17800,0.00268035
17900,0.00267324
18000,0.00265788
18100,0.00258708
18200,0.00282819
18300,0.00260545
18400,0.0026556
18500,0.00243631
18600,0.00244093
18700,0.00255058
18800,0.00251184
18900,0.00271106
19000,0.00232038
19100,0.0027898
19200,0.00293964
19300,0.00223431
19400,0.00232017
19500,0.00247864
19600,0.00257985
19700,0.00273214
19800,0.00234142
19900,0.00215351
20000,0.00248043
20100,0.0026102
20200,0.00223429
20300,0.00236172
20400,0.00306246
20500,0.00270733
20600,0.00273591
20700,0.00249317
20800,0.0027171
20900,0.00231204
21000,0.00244519
21100,0.00256992
21200,0.00225426
21300,0.00263521
21400,0.00257674
